Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-01-23 03:00 PM,2016,01,23,15,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 04:00 PM,2016,01,23,16,13.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 05:00 PM,2016,01,23,17,15.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 06:00 PM,2016,01,23,18,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 07:00 PM,2016,01,23,19,26.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 08:00 AM,2016,01,23,08,26.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 09:00 AM,2016,01,23,09,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 10:00 AM,2016,01,23,10,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 11:00 AM,2016,01,23,11,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 12:00 PM,2016,01,23,12,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 01:00 PM,2016,01,23,13,48.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 02:00 AM,2016,01,23,02,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 03:00 AM,2016,01,23,03,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 04:00 AM,2016,01,23,04,13.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 05:00 AM,2016,01,23,05,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 06:00 AM,2016,01,23,06,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 07:00 AM,2016,01,23,07,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 08:00 PM,2016,01,22,20,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 09:00 PM,2016,01,22,21,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 10:00 PM,2016,01,22,22,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 11:00 PM,2016,01,22,23,42.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 12:00 AM,2016,01,23,00,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 01:00 AM,2016,01,23,01,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 02:00 PM,2016,01,22,14,18.0,UG/M3,1 Hr,Valid
